Project ID,Project Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR206,2014-P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71825,0,0,0,0,0,0,0
ACR207,Improvements in Vehicle Efficiency for Crete Carrier Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208005,59123,0,0,0,0,0,0,0
ACR208,RR ACR 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315794,0,0,0,0,0,0,0
ACR209,Finite Carbon - Weyerhaeuser Company IFM 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR210,Huron Mountain Club Forest Carbon Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099667,0,0,0
ACR211,White Mountain Apache Tribe Forest Carbon Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3824852,0,247605,0,0,148272,0,0
ACR212,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178907,0,0,545078,663903,0,0
ACR213,EOS ACR 213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127664,0,0,0,0,0,0,0
ACR214,EOS ACR 214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145580,0,0,0,0,0,0,0
ACR215,Açu Renewable Energy Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR216,Renewable Energy Project in the State of Ceará,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR217,São Luís Renewable Energy Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR218,Seridó Renewable Energy Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR219,Low Carbon Agriculture: Composting Project in Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR220,Araripina Renewable Energy Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR221,Wabashco Clean Sweep 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112378,0,0,0,0,0,0,0,0
ACR222,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39383,0,0,0,37238,0,0,84280,0
ACR223,Transformer Oil Reclamation Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165754,0,0,147243,25534,0,18844
ACR224,"SANTOS ENERGIA WIND POWER COMPLEX: SANTO ANTÔNIO DE PÁDUA, SÃO CRISTÓVÃO AND SÃO JORGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344550,123503
ACR225,Wabashco Clean Sweep 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110003,0,0,0,0,0,0,0
ACR226,Marshall County VAM Abatement Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280667,224038,271395,269823,225935,127576,105538,115309
ACR227,RR ACR 2014 756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR228,RR ACR 2014 758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR229,RR ACR 2014 768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR230,Emission Reductions in Midsouth Rice Management Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0
ACR231,Emission Reductions in California Rice Management Systems – System 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR232,The Dry Creek Dairy Biofactory Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43254,50088,55174,53275,59299,37114,0
ACR233,Double A Dairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60194,54602,55058,57195,67734,0,0
ACR234,Alliance Dairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12382,14787,0,29918,10809,0,16323
ACR235,"Synergy Biogas, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14985,7020,6257,6216,0,13931
ACR236,Green Meadow Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5816,13701
ACR237,Blue Source - Hawthorne Ten Mile Watershed Improved Forest Management Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR238,Willet Dairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32509,14212,16178,15442,14662,21737
ACR239,"Edaleen Cow Power, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746,8392,8424,7390,7139,0,0
ACR240,EOS ACR 240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129700,0,0,0,0,0,0,0
ACR241,Gardeau Crest Dairy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14179,14760,13612,13636,11149,10957,13549
ACR242,Cambria 33 Abandoned Mine Methane Capture and Use Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22118,43213,40242,47616
ACR243,Elk Creek Coal Mine Methane Destruction & Utilization Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266263,0,0,0,0,0,0
ACR244,Wabashco Clean Sweep 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57589,0,0,0,0,0,0,0
ACR245,Storrie Fire Reforestation Compliance Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR246,Devil Fire Reforestation Compliance Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR247,Finite Carbon - The Forestland Group Chateaugay Woodlands IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630062,0,47543
ACR248,Cumberland Forest Highlands IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384535,0,0,353432,0,2665,0
ACR249,Finite Carbon - Lyme Wyoming IFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662617,3615158,233244,0,331306,59275,0
ACR250,Clear Heart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
