Project ID,Project Name, Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR198,Wabashco Clean Sweep 2,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88044,0,0,0,0,0,0,0,0,0
ACR199,Finite Carbon - The Forestland Group CT Lakes,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165601,98142,243447,100838,70447,60073,115611,113716,85641
ACR200,Brush Creek,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53171,8980,9436,9746,9982,10176,9914,8032
ACR202,Blue Source- Goodman Improved Forest Management Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693615,14986,23127,68490,21278,26394,0,0,0
ACR203,2014-P5,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR204,Improvements in Vehicle Efficiency for Marten Transport,Fleet Efficiency,0,0,0,0,0,0,0,0,0,0,0,0,5890,14862,29214,35330,39901,43673,38639,0,0,0,0,0,0,0,0
ACR205,Emission Reductions in California Rice Management Systems,Rice Emission Reductions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,195,0,0,0,0,0,0,0,0,0
ACR206,2014-P4,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71825,0,0,0,0,0,0,0,0
ACR207,Improvements in Vehicle Efficiency for Crete Carrier Corp,Fleet Efficiency,0,0,0,0,0,0,0,0,0,0,0,0,12732,24952,28429,40900,46239,54753,59123,0,0,0,0,0,0,0,0
ACR208,RR ACR 2014,Ozone Depleting Substances Recovery & Destruction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315794,0,0,0,0,0,0,0,0
ACR209,Finite Carbon - Weyerhaeuser Company IFM 1,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR210,Huron Mountain Club Forest Carbon Project,Improved Forest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099667,0,0,0,0,0,0
