Project ID,Project Name,Voluntary Registry,"ARB 
Project",Voluntary Status,Scope, Type,Reduction / Removal,Methodology / Protocol,Region,Country,State,Project Site Location,Project Developer,"Total Credits 
Issued","Total Credits 
Retired",Total Credits Remaining,"Total Buffer 
Pool Deposits",Reversals Covered by Buffer Pool,Reversals Not Covered by Buffer,First Year of Project
VCS336,"Methane Recovery Project Houbensteyn Ysselsteyn, Limburg, The Netherlands",VCS,No,Registered,Agriculture,Manure Methane Digester,Reduction,AMS-I.C.; AMS-III.D.,Europe,Netherlands,,,Houbensteyn milieu BV,193099,6411,186688,0,,,2007.0
VCS3360,Developing climate resilience of the coastal communities of Sunderbans through Mangrove Afforestation,VCS,No,On Hold,Forestry & Land Use,Wetland Restoration,Mixed,AR-AM0014,South Asia,India,,,Multiple Proponents,0,0,0,0,,,
VCS3361,Participatory Mangrove Afforestation & Restoration in the west coast of India,VCS,No,Registration requested,Forestry & Land Use,Wetland Restoration,Mixed,AR-AM0014,South Asia,India,,,Multiple Proponents,0,0,0,0,,,
VCS3363,Westphalen Forest Carbon Project,VCS,No,Registration and verification approval requested,Forestry & Land Use,Improved Forest Management,Mixed,VM0012,Europe,Germany,,,Matthias Graf von Westphalen,0,0,0,0,,,
VCS3364,THE ELECTRIC VEHICLE ACCELERATOR (EVA) GROUPED PROJECT,VCS,No,Registration requested,Household & Community,Lighting,Reduction,AMS-III.C.; VM0038,South East Asia,Singapore,,,CRX CARBONBANK PTE. LTD.,0,0,0,0,,,
VCS3365,Developing Voluntary Carbon market project for Sundarban Tiger Reserve in India,VCS,No,Under development,Forestry & Land Use,REDD+,Mixed,VM0007,South Asia,India,,,Value Network Ventures Advisory Services Pvt. Ltd.,0,0,0,0,,,
VCS3366,Shanxi Qinyuan Afforestation Project,VCS,No,Under development,Forestry & Land Use,Afforestation/Reforestation,Impermanent Removal,AR-ACM0003,East Asia,China,,,"Shanxi Qingze Yangguang Environmental Protection Technology Co., Ltd.",0,0,0,0,,,
VCS3368,Orizon CarbonCrop Rewards Programme,VCS,No,Under development,Agriculture,Sustainable Agriculture,Mixed,VM0042,Sub Saharan Africa,South Africa,,,Orizon Agriculture (Pty) Ltd,0,0,0,0,,,
VCS3369,Tieqilishi Sichuan Liangshan AWMS GHG Mitigation Project,VCS,No,Registration and verification approval requested,Agriculture,Manure Methane Digester,Reduction,ACM0010,East Asia,China,,,"Sichuan Tieqilishi Food Co., Ltd.",0,0,0,0,,,
VCS337,"Methane Recovery Project Princepeel Wilbertoord, North Brabant, The Netherlands",VCS,No,Registered,Agriculture,Manure Methane Digester,Reduction,AMS-I.C.; AMS-III.D.,Europe,Netherlands,,,B.V. Landgoed de Princepeel,480754,108245,372509,0,,,2007.0
VCS3371,"Up Energy Improved Cookstoves Programme, Uganda",VCS,No,Units Transferred from Approved GHG Program,Household & Community,Cookstoves,Reduction,AMS-II.G.,Sub Saharan Africa,Uganda,,,UpEnergy Group,63908,0,63908,0,,,2020.0
